event_id,match_id,match_label,period,time_start,time_end,frame_start,frame_end,player_id,player_name,team_id,team_shortname,event_subtype,x_start,y_start,x_end,y_end,channel_start,channel_end,third_start,third_end,penalty_area_start,penalty_area_end,distance_covered,speed_avg,speed_avg_band,trajectory_direction,targeted,received,received_in_space,dangerous,xthreat,team_in_possession_phase_type,team_out_of_possession_phase_type,high_intensity
1_141,2015213,Western United v Auckland FC,1,28:04.2,28:08.4,19052,19094,51008,T. Imai,1803,Western United,run_ahead_of_the_ball,-32.05,-7.64,-9.84,-25.47,center,wide_right,defensive_third,middle_third,False,False,28.72,27.93,sprinting,forward,1.0,1.0,1.0,0.0,0.0007,build_up,high_block,True
1_142,2015213,Western United v Auckland FC,1,28:06.2,28:10.8,19072,19118,560917,R. Bozinovski,1803,Western United,coming_short,-22.73,2.86,-13.15,-17.23,center,half_space_right,defensive_third,middle_third,False,False,23.89,18.62,running,sideway_right,1.0,1.0,1.0,0.0,0.0006,create,medium_block,False
1_143,2015213,Western United v Auckland FC,1,28:06.3,28:10.9,19073,19119,26844,R. Danzaki,1803,Western United,pulling_wide,-9.44,-5.06,5.5,-22.93,center,wide_right,middle_third,middle_third,False,False,24.81,19.32,running,sideway_right,0.0,0.0,,0.0,0.0065,create,medium_block,False
1_144,2015213,Western United v Auckland FC,1,28:29.6,28:33.5,19306,19345,795527,M. Grimaldi,1803,Western United,run_ahead_of_the_ball,-17.44,15.83,-0.04,21.13,half_space_left,wide_left,middle_third,middle_third,False,False,18.17,17.16,running,forward,1.0,1.0,0.0,0.0,0.0111,create,medium_block,False
1_145,2015213,Western United v Auckland FC,1,28:32.5,28:35.7,19335,19367,23922,B. Garuccio,1803,Western United,overlap,-12.03,30.56,10.93,29.92,wide_left,wide_left,middle_third,middle_third,False,False,23.0,27.96,sprinting,forward,1.0,1.0,0.0,0.0,0.0137,create,medium_block,True
1_146,2015213,Western United v Auckland FC,1,28:35.0,28:38.0,19360,19390,560916,N. Botić,1803,Western United,run_ahead_of_the_ball,17.12,1.57,31.03,2.18,center,center,middle_third,attacking_third,False,False,13.94,16.65,running,forward,0.0,0.0,,1.0,0.0536,finish,low_block,False
1_147,2015213,Western United v Auckland FC,1,28:35.0,28:38.5,19360,19395,795527,M. Grimaldi,1803,Western United,support,6.64,24.24,23.13,21.29,wide_left,wide_left,middle_third,attacking_third,False,False,16.51,16.05,running,forward,1.0,1.0,0.0,0.0,0.0133,finish,low_block,False
1_148,2015213,Western United v Auckland FC,1,28:37.6,28:39.5,19386,19405,23922,B. Garuccio,1803,Western United,run_ahead_of_the_ball,22.3,29.44,32.68,27.88,wide_left,wide_left,attacking_third,attacking_third,False,False,9.99,20.05,hsr,forward,0.0,0.0,,0.0,0.0133,finish,low_block,True
1_149,2015213,Western United v Auckland FC,1,28:37.6,28:39.5,19386,19405,795529,M. Ruhs,1803,Western United,run_ahead_of_the_ball,20.52,17.17,29.79,13.84,half_space_left,half_space_left,attacking_third,attacking_third,False,False,9.48,18.64,running,forward,0.0,0.0,,1.0,0.0341,finish,low_block,False
1_150,2015213,Western United v Auckland FC,1,28:41.1,28:43.0,19421,19440,133501,L. Rogerson,4177,Auckland FC,run_ahead_of_the_ball,-28.06,-26.88,-19.2,-29.42,wide_right,wide_right,defensive_third,defensive_third,False,False,8.69,17.45,running,forward,0.0,0.0,,0.0,0.0013,chaotic,chaotic,False
