match_label,event_id,match_id,period,time_start,time_end,minute_start,second_start,frame_start,frame_end,event_type,event_subtype,player_id,player_name,player_in_possession_id,player_in_possession_name,player_in_possession_x_start,player_in_possession_y_start,player_in_possession_x_end,player_in_possession_y_end,team_id,team_shortname,x_start,y_start,x_end,y_end,channel_start,channel_end,third_start,third_end,penalty_area_start,penalty_area_end,distance_covered,speed_avg,speed_avg_band,trajectory_direction,pass_outcome,pass_distance,pass_range,targeted,received,received_in_space,dangerous,difficult_pass_target,xthreat,xpass_completion,passing_option_score,n_passing_options,n_off_ball_runs,n_opponents_bypassed,associated_off_ball_run_event_id,associated_off_ball_run_subtype,team_in_possession_phase_type,team_out_of_possession_phase_type
Melbourne V FC v Auckland FC,7_12,2017461,1,00:47.1,00:47.3,0,47,2981,2983,passing_option,,29075,N. Vergos,51678.0,J. Duncan,-41.43,1.96,-41.5,1.84,868,Melbourne V FC,8.06,1.99,7.76,1.96,center,center,middle_third,middle_third,False,False,0.68,,,backward,,,,1.0,0.0,,0.0,0.0,0.0006,0.6624,0.2809,,,9.0,,,direct,defending_direct
Melbourne V FC v Auckland FC,7_13,2017461,1,00:47.1,00:47.3,0,47,2981,2983,passing_option,,811820,K. Bos,51678.0,J. Duncan,-41.43,1.96,-41.5,1.84,868,Melbourne V FC,-3.72,18.12,-4.41,18.35,half_space_left,half_space_left,middle_third,middle_third,False,False,1.46,,,backward,,,,0.0,0.0,,0.0,0.0,0.0005,0.7698,0.828,,,4.0,,,direct,defending_direct
Melbourne V FC v Auckland FC,7_14,2017461,1,00:47.2,00:47.3,0,47,2982,2983,passing_option,,11117,Z. Machach,51678.0,J. Duncan,-41.47,1.9,-41.5,1.84,868,Melbourne V FC,3.87,13.29,3.71,13.24,half_space_left,half_space_left,middle_third,middle_third,False,False,0.83,,,backward,,,,0.0,0.0,,0.0,0.0,0.0003,0.7334,0.7303,,,6.0,,,direct,defending_direct
Melbourne V FC v Auckland FC,7_15,2017461,1,00:47.3,00:47.3,0,47,2983,2983,passing_option,,50955,N. Velupillay,51678.0,J. Duncan,-41.5,1.84,-41.5,1.84,868,Melbourne V FC,5.21,17.1,5.21,17.1,half_space_left,half_space_left,middle_third,middle_third,False,False,0.0,,,backward,,,,0.0,0.0,,0.0,0.0,0.0004,0.7218,0.706,,,6.0,,,direct,defending_direct
Melbourne V FC v Auckland FC,9_8,2017461,1,00:51.4,00:52.0,0,51,3024,3030,on_ball_engagement,other,29075,N. Vergos,33697.0,N. Pijnaker,,,,,868,Melbourne V FC,12.56,8.51,15.34,8.59,center,center,middle_third,middle_third,False,False,2.79,16.63,running,forward,,,,,,,,,,,,,,,,,chaotic,chaotic
Melbourne V FC v Auckland FC,8_9,2017461,1,00:52.0,00:52.0,0,52,3030,3030,player_possession,,33697,N. Pijnaker,,,,,,,4177,Auckland FC,-19.88,-6.67,-19.88,-6.67,center,center,defensive_third,defensive_third,False,False,0.0,13.87,jogging,sideway_right,unsuccessful,,,,,,,,,,,0.0,0.0,,,,chaotic,chaotic
Melbourne V FC v Auckland FC,9_9,2017461,1,00:53.9,00:56.2,0,53,3065,3072,on_ball_engagement,counter_press,133501,L. Rogerson,811820.0,K. Bos,,,,,4177,Auckland FC,0.19,-21.46,3.7,-22.26,wide_right,wide_right,middle_third,middle_third,False,False,10.53,17.29,running,forward,,,,,,,,,,,,,,,,,create,medium_block
Melbourne V FC v Auckland FC,8_10,2017461,1,00:55.7,00:56.2,0,55,3067,3072,player_possession,,811820,K. Bos,,,,,,,868,Melbourne V FC,-8.61,22.06,-9.61,22.54,wide_left,wide_left,middle_third,middle_third,False,False,0.89,8.03,jogging,backward,successful,11.7,short,,,,,,,,,2.0,0.0,0.0,,,create,medium_block
Melbourne V FC v Auckland FC,7_16,2017461,1,00:55.7,00:55.8,0,55,3067,3068,passing_option,,159688,J. Valadon,811820.0,K. Bos,-8.61,22.06,-8.82,22.16,868,Melbourne V FC,-0.59,16.81,-0.63,17.05,half_space_left,half_space_left,middle_third,middle_third,False,False,1.07,9.41,jogging,sideway_left,,,,0.0,0.0,,0.0,0.0,0.0021,0.7578,0.6475,,,3.0,,,create,medium_block
Melbourne V FC v Auckland FC,7_17,2017461,1,00:55.7,00:56.2,0,55,3067,3072,passing_option,,51685,L. Jackson,811820.0,K. Bos,-8.61,22.06,-9.61,22.54,868,Melbourne V FC,-16.88,14.95,-18.29,15.75,half_space_left,half_space_left,middle_third,defensive_third,False,False,1.31,11.67,jogging,backward,,11.7,short,1.0,1.0,1.0,0.0,0.0,0.0003,0.9988,0.9639,,,0.0,,,create,medium_block
Melbourne V FC v Auckland FC,8_11,2017461,1,00:57.7,00:59.6,0,57,3087,3106,player_possession,,51685,L. Jackson,,,,,,,868,Melbourne V FC,-21.29,17.47,-21.15,16.19,half_space_left,half_space_left,defensive_third,defensive_third,False,False,1.87,3.95,jogging,sideway_right,successful,18.66,medium,,,,,,,,,1.0,0.0,0.0,,,create,medium_block
